id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords
185470,After the World Ended,Drama-Science Fiction,English,An astronaut crashes in the middle of nowhere. A young woman searches for her family in an abandoned urban wasteland. A prisoner prepares for a space program that will make him the first human being on Mars.,1.819,Vertigoheights Film,2015-01-08,0,0,0,Released,"From the Dust to the Great Beyond, Only We Remain",9.0,2,Haruka Abe-Shuna Iijima-Junichi Kajioka-Eke Chukwu-Kenji Watanabe-Lucy Bruegger-Vera Chok-You-Ri Yamanaka-Arinda Alexander-Tino Orsini-Maria Hodson,planet mars-spacecraft-future-stowaway-astronaut-crash landing
481739,Fucking Adelaide,Drama-Comedy,English,A comedy drama told from six different perspectives of a family who reunite in Adelaide when Mum plans to sell the family home. Any sense of togetherness quickly crumbles to reveal how fucked and glorious it is to be home.,1.771,South Australian Film Corporation-Adelaide Film Festival Investment Fund-Screen Australia-Australian Broadcasting Corporation,2017-10-08,0,0,96,Released,"F*!#ing life, f*!#ing expectations, f*!#ing home, f*!#ing family, f*!#ing Adelaide!",0.0,0,Pamela Rabe-Brendan Maclean-Kate Box-Tilda Cobham-Hervey-Audrey Mason-Hyde-Geoff Morrell-Beau Travis Williams-Liam Daughtry-Lucy Ormsby-Kit Bate-Julian Crotti-Rashidi Edward-Sam McMahon-Payal Saraf-Stanley Browning-Danica Moors-Roy Ananda-Huw Francis-Drew Proffitt-Rebecca Summerton-Matthew Cormack-Max Garcia-Underwood-Zoe Saltz,australia-family-adelaide australia
854656,The Queen's Diamond Jubilee: Thanksgiving Service - HRH Queen Elizabeth II's Arrival,Documentary,English,The Queen's Diamond Jubilee: Thanksgiving Service - HRH Queen Elizabeth II's Arrival,0.6,BBC,2012-06-05,0,0,53,Released,,0.0,0,,
270806,Grand Prix: The Winning Tale,,English,Family -  Carlisle Studer Hunter Pecunia Justice Luce,1.209,Engine 15 Media Group-D PYX-MPS Studios-Robert Paschall Jr. Productions,2011-01-01,0,0,94,Released,,1.0,1,Carlisle Diana-Justice Luce-Sinjin Venegas-Hunter Pecunia-Mack White III-Hunter Carson,
188186,Pink Floyd - Live In Atlanta,Music,English,The full concert from early on in the tour to promote A Momentary Lapse Of Reason from Atlanta in 1987.,0.6,,1970-01-01,0,0,120,Released,,0.0,0,,concert
789003,Pike's Peak by Rail,Documentary,English,The dark beauty of the evergreens in Englemann Canyon the bright Autumn gold of the aspens at Mountain View and the majestic rocky slopes at Windy Point are all more spectacular with bright red trains in view. Enjoy Rocky Mountain bighorn sheep deer wild flowers a waterfall and alpine lakes. Rare historic still photos and motion pictures chronicle the works of man along this rail line. The Half Way House Hotel the offices of the Pike's Peak Daily News the Alpine Laboratory & the town of Minnehaha are some of the historic sites now only a memory along the rails. The oldest hydro-electric plant operating in the American West steam locomotive water tanks and an old stone section house are still visible.,0.6,,1991-01-01,0,0,39,Released,,0.0,0,,
716512,Curse of the Black Shuck,Horror-Fantasy-Animation,English,A stop motion animation film based on the legend of the Black Shuck.,0.6,Apres Vague Productions,2020-08-02,0,0,10,Released,,10.0,1,Ciaron Davies,mythical creature-stop motion-dog-black shuck
738924,Regreso a Casa Ros,,English,An initiatory journey in Guatemala through which the protagonist finds a possibility for a way out to the end of his life crisis. This journey involves coming back to his place of origin Madrid where he reencounters his grandfather who even having lost most of his memory seems to unexpectedly wake up from his lethargy in front of the camera and the photographs that were once the business he ran.,0.844,,1970-01-01,0,0,74,Released,,0.0,0,,
174913,Hey There,Comedy,English,In this early short Harold Lloyd sneaks into a movie studio in order to locate an attractive young lady he's just met at a snack bar. He's retrieved a letter she dropped and wants to return it to her but it's pretty clear that his interest extends beyond mere politeness. (She's the adorable young Bebe Daniels so this is easy to understand.) The movie studio setting provides Harold with lots of opportunities to do what comedians do in comedies like this one: flirt with actresses anger the studio brass and dash through sets disrupting everything.,0.952,Rolin Films,1918-04-28,0,0,10,Released,,7.0,5,Harold Lloyd-'Snub' Pollard-Bebe Daniels-William Blaisdell-James Blyler-Jane Blyler-Corinne Bradford-Florence Brewster-Sammy Brooks-Harry Clifton-Lige Conley-Genevieve Cunningham-Billy Fay-William Gillespie-Helen Gilmore-Max Hamburger-Estelle Harrison-Lew Harvey-June Havoc-Maynard Laswell-Gus Leonard-Marvin Loback-Chris Lynton-M.J. McCarthy-Evelyn Page-James Parrott-Hazel Powell-Nina Speight-Charles Stevenson-Cliff Thomas-Irene Tyner-Dorothea Wolbert-King Zany,
267138,A Última Estação,Drama,Portuguese,The life of a Lebanese immigrant through 50 years in Brazil.,0.6,Asacine Produções,2012-12-01,0,0,114,Released,,0.0,0,Mounir Maasri-Elisa Lucinda-Klarah Lobato-João Antonio-Edgard Navarro,
